"CIP Code
Two-Digit
Series","2020 CIP
Code",CIP Code Title
13,13.0501,Educational/Instructional Technology.
13,13.0601,Educational Evaluation and Research.
13,13.0603,Educational Statistics and Research Methods.
13,13.0608,Institutional Research.
14,14,ENGINEERING.
14,14.01,"Engineering, General."
14,14.0101,"Engineering, General."
14,14.0102,Pre-Engineering.
14,14.0103,Applied Engineering.
14,14.02,"Aerospace, Aeronautical, and Astronautical/Space Engineering."
14,14.0201,"Aerospace, Aeronautical, and Astronautical/Space Engineering,
General."
14,14.0202,Astronautical Engineering.
14,14.0299,"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other."
14,14.03,Agricultural Engineering.
14,14.0301,Agricultural Engineering.
14,14.04,Architectural Engineering.
14,14.0401,Architectural Engineering.
14,14.05,Biomedical/Medical Engineering.
14,14.0501,Bioengineering and Biomedical Engineering.
14,14.06,Ceramic Sciences and Engineering.
14,14.0601,Ceramic Sciences and Engineering.
14,14.07,Chemical Engineering.
14,14.0701,Chemical Engineering.
14,14.0702,Chemical and Biomolecular Engineering.
14,14.0799,"Chemical Engineering, Other."
14,14.08,Civil Engineering.
14,14.0801,"Civil Engineering, General."
14,14.0802,Geotechnical and Geoenvironmental Engineering.
14,14.0803,Structural Engineering.
14,14.0804,Transportation and Highway Engineering.
14,14.0805,Water Resources Engineering.
14,14.0899,"Civil Engineering, Other."
14,14.09,Computer Engineering.
14,14.0901,"Computer Engineering, General."
14,14.0902,Computer Hardware Engineering.
14,14.0903,Computer Software Engineering.
14,14.0999,"Computer Engineering, Other."
14,14.1,"Electrical, Electronics, and Communications Engineering."
14,14.1001,Electrical and Electronics Engineering.
14,14.1003,Laser and Optical Engineering.
14,14.1004,Telecommunications Engineering.
14,14.1099,"Electrical, Electronics, and Communications Engineering, Other."
14,14.11,Engineering Mechanics.
14,14.1101,Engineering Mechanics.
14,14.12,Engineering Physics.
14,14.1201,Engineering Physics/Applied Physics.
14,14.13,Engineering Science.
14,14.1301,Engineering Science.
14,14.14,Environmental/Environmental Health Engineering.
14,14.1401,Environmental/Environmental Health Engineering.
14,14.18,Materials Engineering.
14,14.1801,Materials Engineering.
14,14.19,Mechanical Engineering.
14,14.1901,Mechanical Engineering.
14,14.2,Metallurgical Engineering.
14,14.2001,Metallurgical Engineering.
14,14.21,Mining and Mineral Engineering.
14,14.2101,Mining and Mineral Engineering.
14,14.22,Naval Architecture and Marine Engineering.
14,14.2201,Naval Architecture and Marine Engineering.
14,14.23,Nuclear Engineering.
14,14.2301,Nuclear Engineering.
14,14.24,Ocean Engineering.
14,14.2401,Ocean Engineering.
14,14.25,Petroleum Engineering.
14,14.2501,Petroleum Engineering.
14,14.27,Systems Engineering.
14,14.2701,Systems Engineering.
14,14.28,Textile Sciences and Engineering.
14,14.2801,Textile Sciences and Engineering.
14,14.32,Polymer/Plastics Engineering.
14,14.3201,Polymer/Plastics Engineering.
14,14.33,Construction Engineering.
14,14.3301,Construction Engineering.
14,14.34,Forest Engineering.
14,14.3401,Forest Engineering.
14,14.35,Industrial Engineering.
14,14.3501,Industrial Engineering.
14,14.36,Manufacturing Engineering.
14,14.3601,Manufacturing Engineering.
14,14.37,Operations Research.
14,14.3701,Operations Research.
14,14.38,Surveying Engineering.
14,14.3801,Surveying Engineering.
14,14.39,Geological/Geophysical Engineering.
14,14.3901,Geological/Geophysical Engineering.
14,14.4,Paper Science and Engineering.
14,14.4001,Paper Science and Engineering.
14,14.41,Electromechanical Engineering.
14,14.4101,Electromechanical Engineering.
14,14.42,"Mechatronics, Robotics, and Automation Engineering."
14,14.4201,"Mechatronics, Robotics, and Automation Engineering."
14,14.43,Biochemical Engineering.
14,14.4301,Biochemical Engineering.
14,14.44,Engineering Chemistry.
14,14.4401,Engineering Chemistry.
14,14.45,Biological/Biosystems Engineering.
14,14.4501,Biological/Biosystems Engineering.
14,14.47,Electrical and Computer Engineering.
14,14.4701,Electrical and Computer Engineering.
14,14.48,Energy Systems Engineering.
14,14.4801,"Energy Systems Engineering, General."
14,14.4802,Power Plant Engineering.
14,14.4899,"Energy Systems Engineering, Other."
14,14.99,"Engineering, Other."
14,14.9999,"Engineering, Other."
15,15,"Engineering Technologies/Technicians, General."
15,15.0101,Architectural Engineering Technologies/Technicians.
15,15.0201,Civil Engineering Technologies/Technicians.
15,15.0303,"Electrical, Electronic, and Communications Engineering
Technology/Technician."
15,15.0304,Laser and Optical Technology/Technician.
15,15.0305,Telecommunications Technology/Technician.
15,15.0306,Integrated Circuit Design Technology/Technician.
15,15.0399,"Electrical/Electronic Engineering Technologies/Technicians, Other."
15,15.0401,Biomedical Technology/Technician.
15,15.0403,"Electromechanical/Electromechanical Engineering
Technology/Technician."
15,15.0404,Instrumentation Technology/Technician.
15,15.0405,Robotics Technology/Technician.
15,15.0406,Automation Engineer Technology/Technician.
15,15.0407,"Mechatronics, Robotics, and Automation Engineering
Technology/Technician."
15,15.0499,"Electromechanical Technologies/Technicians, Other."
15,15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering
Technology/Technician."
15,15.0506,"Water Quality and Wastewater Treatment Management and Recycling
Technology/Technician."
15,15.0507,Environmental/Environmental Engineering Technology/Technician.
15,15.0508,"Hazardous Materials Management and Waste
Technology/Technician."
15,15.0599,"Environmental Control Technologies/Technicians, Other."
15,15.0607,Plastics and Polymer Engineering Technology/Technician.
15,15.0611,Metallurgical Technology/Technician.
15,15.0612,Industrial Technology/Technician.
15,15.0613,Manufacturing Engineering Technology/Technician.
15,15.0614,Welding Engineering Technology/Technician.
15,15.0615,Chemical Engineering Technology/Technician.
15,15.0616,Semiconductor Manufacturing Technology/Technician.
15,15.0617,Composite Materials Technology/Technician.
15,15.0699,"Industrial Production Technologies/Technicians, Other."
15,15.0701,Occupational Safety and Health Technology/Technician.
15,15.0702,Quality Control Technology/Technician.
15,15.0703,Industrial Safety Technology/Technician.
15,15.0704,Hazardous Materials Information Systems Technology/Technician.
15,15.0799,"Quality Control and Safety Technologies/Technicians, Other."
15,15.0801,Aeronautical/Aerospace Engineering Technology/Technician.
15,15.0803,Automotive Engineering Technology/Technician.
15,15.0805,Mechanical/Mechanical Engineering Technology/Technician.
15,15.0899,"Mechanical Engineering Related Technologies/Technicians, Other."
15,15.0901,Mining Technology/Technician.
15,15.0903,Petroleum Technology/Technician.
15,15.0999,"Mining and Petroleum Technologies/Technicians, Other."
15,15.1001,Construction Engineering Technology/Technician.
15,15.1102,Surveying Technology/Surveying.
15,15.1103,Hydraulics and Fluid Power Technology/Technician.
15,15.1199,"Engineering-Related Technologies/Technicians, Other."
15,15.1201,Computer Engineering Technology/Technician.
15,15.1202,Computer/Computer Systems Technology/Technician.
15,15.1203,Computer Hardware Technology/Technician.
15,15.1204,Computer Software Technology/Technician.
15,15.1299,"Computer Engineering Technologies/Technicians, Other."
15,15.1301,"Drafting and Design Technology/Technician, General."
15,15.1302,CAD/CADD Drafting and/or Design Technology/Technician.
15,15.1303,Architectural Drafting and Architectural CAD/CADD.
15,15.1304,Civil Drafting and Civil Engineering CAD/CADD.
15,15.1305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.
15,15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD.
15,15.1399,"Drafting/Design Engineering Technologies/Technicians, Other."
15,15.1401,Nuclear Engineering Technology/Technician.
15,15.1501,Engineering/Industrial Management.
15,15.1502,Engineering Design.
15,15.1503,Packaging Science.
15,15.1599,"Engineering-Related Fields, Other."
15,15.1601,Nanotechnology.
15,15.1701,Energy Systems Technology/Technician.
15,15.1703,Solar Energy Technology/Technician.
15,15.9999,"Engineering/Engineering-Related Technologies/Technicians, Other."
26,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.
26,26.01,"Biology, General."
26,26.0101,"Biology/Biological Sciences, General."
26,26.0102,"Biomedical Sciences, General."
26,26.02,"Biochemistry, Biophysics and Molecular Biology."
26,26.0202,Biochemistry.
26,26.0203,Biophysics.
26,26.0204,Molecular Biology.
26,26.0205,Molecular Biochemistry.
26,26.0206,Molecular Biophysics.
26,26.0207,Structural Biology.
26,26.0208,Photobiology.
26,26.0209,Radiation Biology/Radiobiology.
26,26.021,Biochemistry and Molecular Biology.
26,26.0299,"Biochemistry, Biophysics and Molecular Biology, Other."
26,26.03,Botany/Plant Biology.
26,26.0301,Botany/Plant Biology.
26,26.0305,Plant Pathology/Phytopathology.
26,26.0307,Plant Physiology.
26,26.0308,Plant Molecular Biology.
26,26.0399,"Botany/Plant Biology, Other."
26,26.04,Cell/Cellular Biology and Anatomical Sciences.
26,26.0401,Cell/Cellular Biology and Histology.
26,26.0403,Anatomy.
26,26.0404,Developmental Biology and Embryology.
26,26.0406,Cell/Cellular and Molecular Biology.
26,26.0407,Cell Biology and Anatomy.
26,26.0499,"Cell/Cellular Biology and Anatomical Sciences, Other."
26,26.05,Microbiological Sciences and Immunology.
26,26.0502,"Microbiology, General."
26,26.0503,Medical Microbiology and Bacteriology.
26,26.0504,Virology.
26,26.0505,Parasitology.
26,26.0506,Mycology.
26,26.0507,Immunology.
26,26.0508,Microbiology and Immunology.
26,26.0509,Infectious Disease and Global Health.
26,26.0599,"Microbiological Sciences and Immunology, Other."
26,26.07,Zoology/Animal Biology.
26,26.0701,Zoology/Animal Biology.
26,26.0702,Entomology.
26,26.0707,Animal Physiology.
26,26.0708,Animal Behavior and Ethology.
26,26.0709,Wildlife Biology.
26,26.0799,"Zoology/Animal Biology, Other."
26,26.08,Genetics.
26,26.0801,"Genetics, General."
26,26.0802,Molecular Genetics.
26,26.0803,Microbial and Eukaryotic Genetics.
26,26.0804,Animal Genetics.
26,26.0805,Plant Genetics.
26,26.0806,Human/Medical Genetics.
26,26.0807,Genome Sciences/Genomics.
26,26.0899,"Genetics, Other."
26,26.09,"Physiology, Pathology and Related Sciences."
26,26.0901,"Physiology, General."
26,26.0902,Molecular Physiology.
26,26.0903,Cell Physiology.
26,26.0904,Endocrinology.
26,26.0905,Reproductive Biology.
26,26.0907,Cardiovascular Science.
26,26.0908,Exercise Physiology and Kinesiology.
26,26.0909,Vision Science/Physiological Optics.
26,26.091,Pathology/Experimental Pathology.
26,26.0911,Oncology and Cancer Biology.
26,26.0912,Aerospace Physiology and Medicine.
26,26.0913,Biomechanics.
26,26.0999,"Physiology, Pathology, and Related Sciences, Other."
26,26.1,Pharmacology and Toxicology.
26,26.1001,Pharmacology.
26,26.1002,Molecular Pharmacology.
26,26.1003,Neuropharmacology.
26,26.1004,Toxicology.
26,26.1005,Molecular Toxicology.
26,26.1006,Environmental Toxicology.
26,26.1007,Pharmacology and Toxicology.
26,26.1099,"Pharmacology and Toxicology, Other."
26,26.11,"Biomathematics, Bioinformatics, and Computational Biology."
26,26.1101,Biometry/Biometrics.
26,26.1102,Biostatistics.
26,26.1103,Bioinformatics.
26,26.1104,Computational Biology.
26,26.1199,"Biomathematics, Bioinformatics, and Computational Biology, Other."
26,26.12,Biotechnology.
26,26.1201,Biotechnology.
26,26.13,"Ecology, Evolution, Systematics, and Population Biology."
26,26.1301,Ecology.
26,26.1302,Marine Biology and Biological Oceanography.
26,26.1303,Evolutionary Biology.
26,26.1304,Aquatic Biology/Limnology.
26,26.1305,Environmental Biology.
26,26.1306,Population Biology.
26,26.1307,Conservation Biology.
26,26.1308,Systematic Biology/Biological Systematics.
26,26.1309,Epidemiology.
26,26.131,Ecology and Evolutionary Biology.
26,26.1311,Epidemiology and Biostatistics.
26,26.1399,"Ecology, Evolution, Systematics and Population Biology, Other."
26,26.14,Molecular Medicine.
26,26.1401,Molecular Medicine.
26,26.15,Neurobiology and Neurosciences.
26,26.1501,Neuroscience.
26,26.1502,Neuroanatomy.
26,26.1503,Neurobiology and Anatomy.
26,26.1504,Neurobiology and Behavior.
26,26.1599,"Neurobiology and Neurosciences, Other."
26,26.99,"Biological and Biomedical Sciences, Other."
26,26.9999,"Biological and Biomedical Sciences, Other."
27,27,MATHEMATICS AND STATISTICS.
27,27.01,Mathematics.
27,27.0101,"Mathematics, General."
27,27.0102,Algebra and Number Theory.
27,27.0103,Analysis and Functional Analysis.
27,27.0104,Geometry/Geometric Analysis.
27,27.0105,Topology and Foundations.
27,27.0199,"Mathematics, Other."
27,27.03,Applied Mathematics.
27,27.0301,"Applied Mathematics, General."
27,27.0303,Computational Mathematics.
27,27.0304,Computational and Applied Mathematics.
27,27.0305,Financial Mathematics.
27,27.0306,Mathematical Biology.
27,27.0399,"Applied Mathematics, Other."
27,27.05,Statistics.
27,27.0501,"Statistics, General."
27,27.0502,Mathematical Statistics and Probability.
27,27.0503,Mathematics and Statistics.
27,27.0599,"Statistics, Other."
27,27.06,Applied Statistics.
27,27.0601,"Applied Statistics, General."
27,27.99,"Mathematics and Statistics, Other."
27,27.9999,"Mathematics and Statistics, Other."
28,28.0501,Air Science/Airpower Studies.
28,28.0502,Air and Space Operational Art and Science.
28,28.0505,Naval Science and Operational Studies.
29,29.0201,"Intelligence, General."
29,29.0202,Strategic Intelligence.
29,29.0203,Signal/Geospatial Intelligence.
29,29.0204,"Command & Control (C3, C4I) Systems and Operations."
29,29.0205,Information Operations/Joint Information Operations.
29,29.0206,Information/Psychological Warfare and Military Media Relations.
29,29.0207,Cyber/Electronic Operations and Warfare.
29,29.0299,"Intelligence, Command Control and Information Operations, Other."
29,29.0301,Combat Systems Engineering.
29,29.0302,Directed Energy Systems.
29,29.0303,Engineering Acoustics.
29,29.0304,Low-Observables and Stealth Technology.
29,29.0305,Space Systems Operations.
29,29.0306,Operational Oceanography.
29,29.0307,Undersea Warfare.
29,29.0399,"Military Applied Sciences, Other."
29,29.0401,Aerospace Ground Equipment Technology.
29,29.0402,Air and Space Operations Technology.
29,29.0403,Aircraft Armament Systems Technology.
29,29.0404,Explosive Ordinance/Bomb Disposal.
29,29.0405,"Joint Command/Task Force (C3, C4I) Systems."
29,29.0406,Military Information Systems Technology.
29,29.0407,Missile and Space Systems Technology.
29,29.0408,Munitions Systems/Ordinance Technology.
29,29.0409,Radar Communications and Systems Technology.
29,29.0499,"Military Systems and Maintenance Technology, Other."
29,29.9999,"Military Technologies and Applied Sciences, Other."
30,30.0101,Biological and Physical Sciences.
30,30.0601,Systems Science and Theory.
30,30.0801,Mathematics and Computer Science.
30,30.1001,Biopsychology.
30,30.1701,Behavioral Sciences.
30,30.1801,Natural Sciences.
30,30.1901,Nutrition Sciences.
30,30.2501,"Cognitive Science, General."
30,30.2701,Human Biology.
30,30.3001,Computational Science.
30,30.3101,Human Computer Interaction.
30,30.3201,Marine Sciences.
30,30.3301,Sustainability Studies.
30,30.3401,Anthrozoology.
30,30.3501,Climate Science.
30,30.3801,Earth Systems Science.
30,30.3901,Economics and Computer Science.
30,30.4101,Environmental Geosciences.
30,30.4301,Geobiology.
30,30.4401,Geography and Environmental Studies.
30,30.4801,Linguistics and Computer Science
30,30.4901,Mathematical Economics.
30,30.5001,Mathematics and Atmospheric/Oceanic Science.
30,30.7001,"Data Science, General."
30,30.7101,"Data Analytics, General."
30,30.7102,Business Analytics.
30,30.7103,Data Visualization.
30,30.7104,Financial Analytics.
30,30.7199,"Data Analytics, Other."
40,40,PHYSICAL SCIENCES.
40,40.01,"Physical Sciences, General."
40,40.0101,"Physical Sciences, General."
40,40.02,Astronomy and Astrophysics.
40,40.0201,Astronomy.
40,40.0202,Astrophysics.
40,40.0203,Planetary Astronomy and Science.
40,40.0299,"Astronomy and Astrophysics, Other."
40,40.04,Atmospheric Sciences and Meteorology.
40,40.0401,"Atmospheric Sciences and Meteorology, General."
40,40.0402,Atmospheric Chemistry and Climatology.
40,40.0403,Atmospheric Physics and Dynamics.
40,40.0404,Meteorology.
40,40.0499,"Atmospheric Sciences and Meteorology, Other."
40,40.05,Chemistry.
40,40.0501,"Chemistry, General."
40,40.0502,Analytical Chemistry.
40,40.0503,Inorganic Chemistry.
40,40.0504,Organic Chemistry.
40,40.0506,Physical Chemistry.
40,40.0507,Polymer Chemistry.
40,40.0508,Chemical Physics.
40,40.0509,Environmental Chemistry.
40,40.051,Forensic Chemistry.
40,40.0511,Theoretical Chemistry.
40,40.0512,Cheminformatics/Chemistry Informatics.
40,40.0599,"Chemistry, Other."
40,40.06,Geological and Earth Sciences/Geosciences.
40,40.0601,"Geology/Earth Science, General."
40,40.0602,Geochemistry.
40,40.0603,Geophysics and Seismology.
40,40.0604,Paleontology.
40,40.0605,Hydrology and Water Resources Science.
40,40.0606,Geochemistry and Petrology.
40,40.0607,"Oceanography, Chemical and Physical."
40,40.0699,"Geological and Earth Sciences/Geosciences, Other."
40,40.08,Physics.
40,40.0801,"Physics, General."
40,40.0802,Atomic/Molecular Physics.
40,40.0804,Elementary Particle Physics.
40,40.0805,Plasma and High-Temperature Physics.
40,40.0806,Nuclear Physics.
40,40.0807,Optics/Optical Sciences.
40,40.0808,Condensed Matter and Materials Physics.
40,40.0809,Acoustics.
40,40.081,Theoretical and Mathematical Physics.
40,40.0899,"Physics, Other."
40,40.1,Materials Sciences.
40,40.1001,Materials Science.
40,40.1002,Materials Chemistry.
40,40.1099,"Materials Sciences, Other."
40,40.11,Physics and Astronomy.
40,40.1101,Physics and Astronomy.
40,40.99,"Physical Sciences, Other."
40,40.9999,"Physical Sciences, Other."
41,41,"Science Technologies/Technicians, General."
41,41.0101,Biology/Biotechnology Technology/Technician.
41,41.0204,Industrial Radiologic Technology/Technician.
41,41.0205,Nuclear/Nuclear Power Technology/Technician.
41,41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other."
41,41.0301,Chemical Technology/Technician.
41,41.0303,Chemical Process Technology.
41,41.0399,"Physical Science Technologies/Technicians, Other."
41,41.9999,"Science Technologies/Technicians, Other."
42,42.2701,Cognitive Psychology and Psycholinguistics.
42,42.2702,Comparative Psychology.
42,42.2703,Developmental and Child Psychology.
42,42.2704,Experimental Psychology.
42,42.2705,Personality Psychology.
42,42.2706,Behavioral Neuroscience.
42,42.2707,Social Psychology.
42,42.2708,Psychometrics and Quantitative Psychology.
42,42.2709,Psychopharmacology.
42,42.271,Developmental and Adolescent Psychology.
42,42.2799,"Research and Experimental Psychology, Other."
42,42.2804,Industrial and Organizational Psychology.
43,43.0403,Cyber/Computer Forensics and Counterterrorism.
43,43.0406,Forensic Science and Technology.
43,43.0407,Geospatial Intelligence.
45,45.0102,"Social Sciences, Research Methodology and Quantitative Methods."
45,45.0301,Archeology.
45,45.0501,Demography and Population Studies.
45,45.0603,Econometrics and Quantitative Economics.
45,45.0702,Geographic Information Science and Cartography.
49,49.0101,"Aeronautics/Aviation/Aerospace Science and Technology, General."
51,51.1002,Cytotechnology/Cytotechnologist.
51,51.1005,Clinical Laboratory Science/Medical Technology/Technologist.
51,51.1401,Medical Science/Scientist.
51,51.2003,Pharmaceutics and Drug Design.
51,51.2004,Medicinal and Pharmaceutical Chemistry.
51,51.2005,Natural Products Chemistry and Pharmacognosy.
51,51.2006,Clinical and Industrial Drug Development.
51,51.2007,Pharmacoeconomics/Pharmaceutical Economics.
51,51.2009,Industrial and Physical Pharmacy and Cosmetic Sciences.
51,51.201,Pharmaceutical Sciences.
51,51.2202,Environmental Health.
51,51.2205,Health/Medical Physics.
51,51.2706,Medical Informatics.
52,52.1301,Management Science.
52,52.1302,Business Statistics.
52,52.1304,Actuarial Science.
52,52.1399,"Management Sciences and Quantitative Methods, Other."
